"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"CME","CME Group","reports","Finanzas","Financial Exchanges & Data","Chicago, Illinois","38940",1156375,"1848"
"CMG","Chipotle Mexican Grill","reports","Consumo Discrecional","Restaurantes","Newport Beach, California","40661",1058090,"1993"
"CMI","Cummins","reports","Industriales","Maquinaria Industrial","Columbus, Indiana","23832",26172,"1919"
"CMS","CMS Energy","reports","Utilidades","Multi-Utilities","Jackson, Michigan","36283",811156,"1886"
"CNC","Centene Corporation","reports","Cuidado de Salud","Managed Health Care","St. Louis, Missouri","42459",1071739,"1984"
"CNP","CenterPoint Energy","reports","Utilidades","Multi-Utilities","Houston, Texas","31259",1130310,"1882"
"COF","Capital One","reports","Finanzas","Consumer Finance","Tysons Corner, Virginia","35977",927628,"1994"
"COO","CooperCompanies","reports","Cuidado de Salud","Health Care Supplies","San Ramon, California","42636",711404,"1958"
"COP","ConocoPhillips","reports","Energía","Oil & Gas Exploration & Production","Houston, Texas","20883",1163165,"2002"
"COST","Costco","reports","Productos básicos","Hipermercados y Súper Centros","Issaquah, Washington","34243",909832,"1976"
"CPB","Campbell Soup Company","reports","Productos básicos","Alimentos y Carnes Empaquetados","Camden, New Jersey","20883",16732,"1869"
"CPRT","Copart","reports","Industriales","Servicios de Soporte Diversificado","Dallas, Texas","43283",900075,"1982"
"CPT","Camden Property Trust","reports","Bienes Raíces","Residential REITs","Houston, Texas","44655",906345,"1981"
"CRL","Charles River Laboratories","reports","Cuidado de Salud","Life Sciences Tools & Services","Wilmington, Massachusetts","44330",1100682,"1947"
"CRM","Salesforce","reports","Tecnología Informática","Software de Aplicación","San Francisco, California","39706",1108524,"1999"
"CSCO","Cisco","reports","Tecnología Informática","Equipo de Comunicación","San Jose, California","34304",858877,"1984"
"CSGP","CoStar Group","reports","Industriales","Servicios de Investigación y Consultoría","Washington D. C.","44823",1057352,"1987"
"CSX","CSX","reports","Industriales","Ferrocarriles","Jacksonville, Florida","24745",277948,"1980"
"CTAS","Cintas","reports","Industriales","Servicios de Soporte Diversificado","Mason, Ohio","36951",723254,"1929"
"CTLT","Catalent","reports","Cuidado de Salud","Farmacéuticos","Somerset, New Jersey","44095",1596783,"2007"
"CTRA","Coterra","reports","Energía","Oil & Gas Exploration & Production","Houston, Texas","39622",858470,"2021 (1989)"
"CTSH","Cognizant","reports","Tecnología Informática","Consultoría Informática y Otros Servicios","Teaneck, New Jersey","39038",1058290,"1994"
"CTVA","Corteva","reports","Materiales","Fertilizantes y Químicos Agrícola","Indianapolis, Indiana","43619",1755672,"2019"
"CVS","CVS Health","reports","Cuidado de Salud","Health Care Services","Woonsocket, Rhode Island","20883",64803,"1996"
"CVX","Chevron Corporation","reports","Energía","Integrated Oil & Gas","San Ramon, California","20883",93410,"1879"
"CZR","Caesars Entertainment","reports","Consumo Discrecional","Casinos & Gaming","Reno, Nevada","44277",1590895,"1973"
"D","Dominion Energy","reports","Utilidades","Electric Utilities","Richmond, Virginia",NA,715957,"1983"
"DAL","Delta Air Lines","reports","Industriales","Aerolíneas","Atlanta, Georgia","41528",27904,"1929"
