"Fecha","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
2017-10-16,319.739990234375,320.670013427734,317.739990234375,318.940002441406,588200,272.364715576172
2017-10-17,318.700012207031,318.929992675781,317.019989013672,318.269989013672,741600,271.792541503906
2017-10-18,318.329986572266,318.820007324219,314.700012207031,315.570007324219,1131100,269.486877441406
2017-10-19,315.570007324219,317.070007324219,313.019989013672,316.839996337891,727600,270.571319580078
2017-10-20,317.929992675781,320,316.600006103516,320,933400,273.269897460938
2017-10-23,321.059997558594,321.559997558594,319.869995117188,320.730010986328,1239000,273.893371582031
2017-10-24,314.690002441406,317,310.609985351562,313.149993896484,2567800,267.420227050781
2017-10-25,312.859985351562,315.959991455078,311.309997558594,312.429992675781,1658800,266.805358886719
2017-10-26,313.440002441406,314.420013427734,303.309997558594,307.890014648438,1599400,262.928344726562
2017-10-27,307.950012207031,310.380004882812,307.75,308,998600,263.022308349609
2017-10-30,308.5,310.420013427734,307.820007324219,308.630004882812,1157300,263.560333251953
2017-10-31,309.160003662109,309.829986572266,308.140014648438,308.160003662109,693900,263.158905029297
2017-11-01,309.049987792969,309.660003662109,306.230010986328,306.600006103516,1016100,261.826751708984
2017-11-02,306.109985351562,310.859985351562,306.109985351562,310.859985351562,868900,265.464660644531
2017-11-03,310.920013427734,311.850006103516,309.040008544922,309.989990234375,652200,264.7216796875
2017-11-06,309.720001220703,311.929992675781,308.679992675781,310.079986572266,717300,264.798614501953
2017-11-07,310.079986572266,313.369995117188,310.079986572266,313.290008544922,874200,267.539855957031
2017-11-08,313.440002441406,315.700012207031,313.299987792969,315.640014648438,729600,269.546661376953
2017-11-09,314.850006103516,315.059997558594,310.279998779297,311.079986572266,890600,265.652496337891
2017-11-10,310.299987792969,311.679992675781,309.760009765625,311.170013427734,630800,265.729400634766
2017-11-13,311,313.279998779297,310.309997558594,312.950012207031,702800,267.249542236328
2017-11-14,312,314,310.700012207031,313.739990234375,605700,267.924011230469
2017-11-15,313.100006103516,313.779998779297,310.540008544922,310.640014648438,754900,265.276702880859
2017-11-16,311.089996337891,312.799987792969,311,312.649993896484,635500,266.993255615234
2017-11-17,311.589996337891,312.429992675781,309.5,309.700012207031,692300,264.474029541016
2017-11-20,310.200012207031,315.570007324219,310.010009765625,314.649993896484,901800,268.701110839844
2017-11-21,315.239990234375,317.619995117188,314.609985351562,316.940002441406,858000,270.656768798828
2017-11-22,316.309997558594,316.859985351562,314.350006103516,314.869995117188,685700,268.889099121094
2017-11-24,315.089996337891,316.230010986328,315.019989013672,315.820007324219,320900,269.700378417969
2017-11-27,316,316.890014648438,315.049987792969,316.700012207031,657800,270.451843261719
2017-11-28,316.779998779297,319.429992675781,316.170013427734,319.010009765625,967200,272.424468994141
2017-11-29,319.5,321.209991455078,318.329986572266,320.760009765625,1190500,273.9189453125
2017-11-30,319.619995117188,320.940002441406,318.480010986328,319.119995117188,2626200,274.228210449219
